Start Time,Duration,Server IP
1731730957.3695092,0.24421095848083496,172.31.25.71
1731730957.5746088,0.24541807174682617,172.31.24.120
1731730957.778311,0.11565208435058594,172.31.16.52
1731730958.1810062,0.10592269897460938,172.31.30.124
1731730958.384125,0.05365490913391113,172.31.16.52
1731730957.978445,0.46980881690979004,172.31.24.120
1731730958.5871732,0.2761378288269043,172.31.25.85
1731730958.789898,0.3259611129760742,172.31.30.124
1731730959.193912,0.11252784729003906,172.31.24.120
1731730958.991175,0.4778921604156494,172.31.25.71
1731730959.3979928,0.16321516036987305,172.31.26.241
1731730959.598685,0.29007983207702637,172.31.25.71
1731730959.80339,0.23885107040405273,172.31.25.30
1731730960.008317,0.10955524444580078,172.31.25.85
1731730960.209541,0.25774502754211426,172.31.25.30
1731730960.4111638,0.3105752468109131,172.31.27.39
1731730960.6119401,0.13037395477294922,172.31.16.52
1731730960.815519,0.2394857406616211,172.31.25.71
1731730961.2222679,0.06320405006408691,172.31.25.71
1731730961.020533,0.5555150508880615,172.31.16.52
1731730961.425768,0.18638014793395996,172.31.30.124
1731730961.628386,0.2523200511932373,172.31.25.71
1731730961.8316329,0.15189719200134277,172.31.25.30
1731730962.034406,0.18549227714538574,172.31.27.39
1731730962.2394361,0.2752659320831299,172.31.30.124
1731730962.444103,0.4299428462982178,172.31.25.30
1731730962.846526,0.16905593872070312,172.31.16.52
1731730962.646409,0.4807569980621338,172.31.24.120
1731730963.047403,0.12456083297729492,172.31.25.85
1731730963.248342,0.22261285781860352,172.31.24.120
1731730963.448451,0.08373498916625977,172.31.25.30
1731730963.649835,0.14244699478149414,172.31.27.39
1731730963.85318,0.33085203170776367,172.31.25.30
1731730964.0575,0.46030521392822266,172.31.26.241
1731730964.258655,0.6653149127960205,172.31.25.71
1731730964.8686929,0.18453097343444824,172.31.24.120
1731730964.461987,0.7279801368713379,172.31.25.85
1731730964.6667142,0.5241339206695557,172.31.26.241
1731730965.0718038,0.20644927024841309,172.31.25.30
1731730965.2740328,0.28448939323425293,172.31.26.241
1731730965.6746318,0.061051130294799805,172.31.25.85
1731730965.474279,0.396867036819458,172.31.25.71
1731730965.877474,0.33191871643066406,172.31.16.52
1731730966.0777652,0.25606775283813477,172.31.25.30
1731730966.282769,0.2533438205718994,172.31.25.71
1731730966.487403,0.17415094375610352,172.31.24.120
1731730966.6907551,0.33730363845825195,172.31.30.124
1731730966.8916018,0.24996209144592285,172.31.27.39
1731730967.0928051,0.2272658348083496,172.31.25.30
1731730967.497376,0.22731804847717285,172.31.16.52
1731730967.293279,0.4764530658721924,172.31.27.39
1731730967.70064,0.07998394966125488,172.31.24.120
1731730967.905316,0.248884916305542,172.31.30.124
1731730968.1071029,0.5975749492645264,172.31.27.39
1731730968.3099651,0.4109818935394287,172.31.26.241
1731730968.5111911,0.3334188461303711,172.31.25.71
1731730968.713952,0.5923309326171875,172.31.16.52
1731730969.121026,0.24923086166381836,172.31.25.30
1731730968.919141,0.5503079891204834,172.31.25.71
1731730969.3232472,0.2675597667694092,172.31.25.85
1731730969.5245628,0.0813450813293457,172.31.16.52
