Start Time,Duration,Server IP
1731734860.5185878,0.2259693145751953,172.31.27.166
1731734860.502145,0.24306893348693848,172.31.27.88
1731734860.535276,0.22970294952392578,172.31.26.206
1731734860.5501819,0.22861719131469727,172.31.28.111
1731734860.565618,0.22639989852905273,172.31.27.166
1731734860.581344,0.2288341522216797,172.31.28.111
1731734860.597871,0.2223649024963379,172.31.26.206
1731734860.614149,0.2317798137664795,172.31.28.57
1731734860.6461189,0.2261800765991211,172.31.16.143
1731734860.66481,0.23670411109924316,172.31.28.57
1731734860.629477,0.28219103813171387,172.31.17.102
1731734860.707377,0.22522521018981934,172.31.16.143
1731734860.677124,0.2768127918243408,172.31.27.88
1731734860.7224388,0.23200416564941406,172.31.27.166
1731734860.7382321,0.24360084533691406,172.31.26.206
1731734860.753849,0.24274110794067383,172.31.17.102
1731734860.769345,0.2349870204925537,172.31.27.88
1731734860.785575,0.22452497482299805,172.31.18.248
1731734860.6907258,0.3197603225708008,172.31.18.248
1731734860.80001,0.22323107719421387,172.31.27.166
1731734860.8153431,0.22643470764160156,172.31.28.111
1731734860.831296,0.2266240119934082,172.31.28.111
1731734860.8772538,0.25389909744262695,172.31.27.88
1731734860.9074922,0.22732901573181152,172.31.16.143
1731734860.8462348,0.29587626457214355,172.31.26.206
1731734860.8615181,0.29421067237854004,172.31.18.248
1731734860.891257,0.29267311096191406,172.31.28.57
1731734860.9669812,0.22511577606201172,172.31.16.143
1731734860.92298,0.28989481925964355,172.31.26.206
1731734860.99628,0.22638916969299316,172.31.26.206
1731734860.953221,0.2877011299133301,172.31.28.57
1731734861.02463,0.2260148525238037,172.31.28.57
1731734861.0567749,0.22479629516601562,172.31.28.111
1731734861.0419421,0.25379180908203125,172.31.18.248
1731734861.0107589,0.2971611022949219,172.31.17.102
1731734861.088879,0.22280287742614746,172.31.28.111
1731734861.072882,0.24123907089233398,172.31.27.166
1731734860.93682,0.3836820125579834,172.31.17.102
1731734860.980951,0.3450789451599121,172.31.17.102
