Start Time,Duration,Server IP
1731730646.3801768,0.09374332427978516,172.31.26.241
1731730646.176586,0.5166411399841309,172.31.25.30
1731730646.992008,0.12552118301391602,172.31.16.52
1731730647.394528,0.44045209884643555,172.31.16.52
1731730647.596713,0.3727099895477295,172.31.26.241
1731730647.798883,0.31129884719848633,172.31.30.124
1731730648.0031419,0.1599133014678955,172.31.26.241
1731730648.2082,0.22037386894226074,172.31.16.52
1731730648.615364,0.2601289749145508,172.31.16.52
1731730648.82037,0.43669700622558594,172.31.30.124
1731730649.226858,0.3107151985168457,172.31.25.30
1731730649.63597,0.1798110008239746,172.31.16.52
1731730649.431895,0.4745900630950928,172.31.26.241
1731730649.837543,0.32845497131347656,172.31.25.30
1731730650.038954,0.3363378047943115,172.31.26.241
