Start Time,Duration,Server IP
1731734638.247487,0.2275848388671875,172.31.16.143
1731734638.2338,0.24199509620666504,172.31.17.102
1731734638.263733,0.22696399688720703,172.31.27.166
1731734638.277537,0.22672581672668457,172.31.27.88
1731734638.3061051,0.2233259677886963,172.31.28.111
1731734638.291733,0.23810100555419922,172.31.26.206
1731734638.3224819,0.23501896858215332,172.31.28.57
1731734638.336521,0.2331099510192871,172.31.16.143
1731734638.351767,0.22829389572143555,172.31.27.166
1731734638.3869498,0.226668119430542,172.31.27.88
1731734638.399613,0.23328304290771484,172.31.26.206
1731734638.4137442,0.23017072677612305,172.31.28.111
1731734638.427451,0.2293229103088379,172.31.17.102
1731734638.44238,0.24675798416137695,172.31.18.248
1731734638.4724631,0.2288188934326172,172.31.17.102
1731734638.368326,0.3424849510192871,172.31.18.248
1731734638.487496,0.22911620140075684,172.31.16.143
1731734638.516914,0.22956013679504395,172.31.28.57
1731734638.533546,0.22967290878295898,172.31.27.88
1731734638.457218,0.30837321281433105,172.31.18.248
1731734638.550217,0.2310929298400879,172.31.27.166
1731734638.501426,0.28025197982788086,172.31.28.57
1731734638.564066,0.22512507438659668,172.31.28.111
1731734638.577616,0.2391960620880127,172.31.26.206
1731734638.591964,0.22588515281677246,172.31.16.143
1731734638.6067462,0.22304987907409668,172.31.27.166
1731734638.622432,0.24383115768432617,172.31.27.88
1731734638.68198,0.22873210906982422,172.31.28.111
1731734638.668225,0.25304603576660156,172.31.26.206
1731734638.65443,0.28308725357055664,172.31.28.57
1731734638.713822,0.2625999450683594,172.31.26.206
1731734638.638644,0.35578203201293945,172.31.17.102
1731734638.744385,0.26206493377685547,172.31.28.57
1731734638.7872372,0.22774076461791992,172.31.27.166
1731734638.6971881,0.3298788070678711,172.31.17.102
1731734638.730428,0.31173014640808105,172.31.27.88
1731734638.817081,0.22616887092590332,172.31.17.102
1731734638.758702,0.28498315811157227,172.31.18.248
1731734638.833688,0.22718000411987305,172.31.18.248
1731734638.8491771,0.22623586654663086,172.31.28.57
1731734638.8025632,0.2759857177734375,172.31.28.111
1731734638.891504,0.2303760051727295,172.31.27.166
1731734638.863704,0.31346797943115234,172.31.27.88
1731734638.773692,0.4145641326904297,172.31.28.111
1731734638.877267,0.3162500858306885,172.31.27.88
1731734638.9223738,0.27568840980529785,172.31.18.248
1731734638.9814332,0.23308491706848145,172.31.28.57
1731734638.906979,0.3116800785064697,172.31.28.111
1731734639.0125,0.22791790962219238,172.31.27.166
1731734638.936488,0.3104109764099121,172.31.26.206
1731734638.967325,0.3177001476287842,172.31.16.143
1731734639.054482,0.2495889663696289,172.31.18.248
1731734639.071075,0.23349308967590332,172.31.16.143
1731734638.952987,0.3554069995880127,172.31.28.111
1731734638.9979808,0.32158327102661133,172.31.27.88
1731734639.0398269,0.2928650379180908,172.31.17.102
