Start Time,Duration,Server IP
1731734573.545132,0.2655761241912842,172.31.27.88
1731734573.560537,0.25318408012390137,172.31.18.248
1731734573.592312,0.22371983528137207,172.31.17.102
1731734573.607113,0.22650599479675293,172.31.27.166
1731734573.6537652,0.22673892974853516,172.31.28.57
1731734573.577308,0.3156149387359619,172.31.28.111
1731734573.622873,0.2864229679107666,172.31.16.143
1731734573.667707,0.24206805229187012,172.31.27.88
1731734573.6843038,0.23044133186340332,172.31.18.248
1731734573.6371279,0.2896902561187744,172.31.26.206
1731734573.7294211,0.22846484184265137,172.31.17.102
1731734573.745578,0.22702574729919434,172.31.27.166
1731734573.772872,0.2251720428466797,172.31.26.206
1731734573.713707,0.28879594802856445,172.31.26.206
1731734573.78785,0.223128080368042,172.31.27.88
1731734573.817726,0.2280561923980713,172.31.27.166
1731734573.832892,0.23962807655334473,172.31.18.248
1731734573.7589529,0.3340270519256592,172.31.28.111
1731734573.702013,0.39192700386047363,172.31.28.111
1731734573.8022988,0.30806517601013184,172.31.17.102
1731734573.8935208,0.23359203338623047,172.31.28.111
1731734573.862995,0.27649831771850586,172.31.28.57
1731734573.847905,0.2972218990325928,172.31.16.143
1731734573.923208,0.2537369728088379,172.31.16.143
1731734573.907042,0.2709939479827881,172.31.28.57
1731734573.8770938,0.3023233413696289,172.31.17.102
1731734573.967798,0.23433303833007812,172.31.17.102
1731734573.984267,0.2276301383972168,172.31.27.166
1731734573.938196,0.27449607849121094,172.31.18.248
1731734573.9521558,0.27408528327941895,172.31.18.248
1731734574.0160902,0.2240738868713379,172.31.28.57
1731734574.000902,0.2653648853302002,172.31.16.143
1731734574.0315049,0.235213041305542,172.31.27.88
1731734574.060396,0.24233412742614746,172.31.28.111
1731734574.046928,0.27944517135620117,172.31.27.166
1731734574.076063,0.2769191265106201,172.31.27.166
1731734574.121227,0.2568361759185791,172.31.26.206
1731734574.1532001,0.2254958152770996,172.31.17.102
1731734574.1070132,0.28671693801879883,172.31.27.88
1731734574.136678,0.2740199565887451,172.31.26.206
1731734574.1993868,0.23223614692687988,172.31.17.102
1731734574.184127,0.24822688102722168,172.31.18.248
1731734574.091541,0.35685181617736816,172.31.27.88
1731734574.1675231,0.2985069751739502,172.31.28.111
1731734574.257664,0.22497797012329102,172.31.16.143
1731734574.214701,0.30422115325927734,172.31.28.57
1731734574.229318,0.2955360412597656,172.31.28.111
1731734574.242686,0.28441500663757324,172.31.28.57
1731734574.3174012,0.24332785606384277,172.31.18.248
1731734574.33376,0.2308659553527832,172.31.28.111
1731734574.273778,0.2955310344696045,172.31.26.206
1731734574.3483698,0.22922611236572266,172.31.28.57
